STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,300,,,,
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,P90Y,,,,
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,P18Y,,,,
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,Final database lock,,,,
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,2025-08-29,,,,
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,USA,,,GENC,Ed3 Up11
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,Advanced NSCLC with MET alterations,,,SNOMED,2023-09-01
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,SINGLE GROUP,,C82640,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,DRUG,,C1909,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,P18M,,,,
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,3,,,,
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,3,,,,
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,To evaluate the efficacy and safety of the investigational treatment,,,,
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,To evaluate pharmacokinetics and immunogenicity,,,,
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,Change from baseline in primary endpoint,,,,
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,MONOCLONAL ANTIBODY,,,MED-RT,2023-09-01
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,300,,,,
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,N,,C49487,CDISC CT,2023-12-15
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,NCT02864992,,,,
MS200095-0022-VISION,TS,1,,TOOLONGCD,ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112,3.4,,,,
