STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
MS200095-0022-VISION,TS,1,,ACTSUB,Actual Number of Subjects,300,X,,,
MS200095-0022-VISION,TS,1,,ADAPT,Adaptive Design,N,,C49487,,2023-12-15
MS200095-0022-VISION,TS,1,,DCUTDESC,Data Cutoff Description,Final database lock,X,,,
MS200095-0022-VISION,TS,1,,DCUTDTC,Data Cutoff Date,2025-08-29,X,,,
MS200095-0022-VISION,TS,1,,EXTTIND,Extension Trial Indicator,NA,,C49487,,2023-12-15
MS200095-0022-VISION,TS,1,,FCNTRY,Planned Country of Investigational Sites,NA,,,,Ed3 Up11
MS200095-0022-VISION,TS,1,,HLTSUBJI,Healthy Subject Indicator,NA,X,C49487,,2023-12-15
MS200095-0022-VISION,TS,1,,INDIC,Trial Disease/Condition Indication,NA,X,,,2023-09-01
MS200095-0022-VISION,TS,1,,INTMODEL,Intervention Model,NA,,C82640,,2023-12-15
MS200095-0022-VISION,TS,1,,INTTYPE,Intervention Type,DRUG,X,C1909,,2023-12-15
MS200095-0022-VISION,TS,1,,NARMS,Planned Number of Arms,3,X,,,
MS200095-0022-VISION,TS,1,,NCOHORT,Number of Groups/Cohorts,NA,,,,
MS200095-0022-VISION,TS,1,,OBJPRIM,Trial Primary Objective,NA,,,,
MS200095-0022-VISION,TS,1,,OBJSEC,Trial Secondary Objective,To evaluate pharmacokinetics and immunogenicity,,,,
MS200095-0022-VISION,TS,1,,ONGOSIND,Ongoing Study Indicator,NA,,C49487,,2023-12-15
MS200095-0022-VISION,TS,1,,OUTMSPRI,Primary Outcome Measure,Change from baseline in primary endpoint,,,,
MS200095-0022-VISION,TS,1,,PCLAS,Pharmacologic Class,MONOCLONAL ANTIBODY,X,,,2023-09-01
MS200095-0022-VISION,TS,1,,PDPSTIND,Pediatric Postmarket Study Indicator,N,,C49487,,2023-12-15
