STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
P261-402-USL261,TS,1,,ACTSUB,Actual Number of Subjects,240,,,,
P261-402-USL261,TS,1,,ADAPT,Adaptive Design,N,,C49487,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,ADDON,Added on to Existing Treatments,N,,C49487,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,AGEMAX,Planned Maximum Age of Subjects,INVALID,,,,
P261-402-USL261,TS,1,,AGEMIN,Planned Minimum Age of Subjects,P12Y,,,,
P261-402-USL261,TS,1,,DCUTDESC,Data Cutoff Description,Final database lock,,,,
P261-402-USL261,TS,1,,DCUTDTC,Data Cutoff Date,2028-02-27,,,,
P261-402-USL261,TS,1,,EXTTIND,Extension Trial Indicator,N,,C49487,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,FCNTRY,Planned Country of Investigational Sites,USA,,,GENC,Ed3 Up11
P261-402-USL261,TS,1,,HLTSUBJI,Healthy Subject Indicator,N,,C49487,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,INDIC,Trial Disease/Condition Indication,Seizure Clusters (Acute Repetitive Seizures),,,SNOMED,2023-09-01
P261-402-USL261,TS,1,,INTMODEL,Intervention Model,SINGLE GROUP,,C82640,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,INTTYPE,Intervention Type,,,C1909,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,LENGTH,Trial Length,P49M,,,,
P261-402-USL261,TS,1,,NARMS,Planned Number of Arms,1,,,,
P261-402-USL261,TS,1,,NCOHORT,Number of Groups/Cohorts,1,,,,
P261-402-USL261,TS,1,,OBJPRIM,Trial Primary Objective,To evaluate the efficacy and safety of the investigational treatment,,,,
P261-402-USL261,TS,1,,OBJSEC,Trial Secondary Objective,To evaluate pharmacokinetics and immunogenicity,,,,
P261-402-USL261,TS,1,,ONGOSIND,Ongoing Study Indicator,N,,C49487,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,OUTMSPRI,Primary Outcome Measure,Change from baseline in primary endpoint,,,,
P261-402-USL261,TS,1,,PCLAS,Pharmacologic Class,MONOCLONAL ANTIBODY,,,MED-RT,2023-09-01
P261-402-USL261,TS,1,,PDPSTIND,Pediatric Postmarket Study Indicator,N,,C49487,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,PDSTIND,Pediatric Study Indicator,N,,C49487,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,PIPIND,Pediatric Investigation Plan Indicator,N,,C49487,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,PLANSUB,Planned Number of Subjects,240,,,,
P261-402-USL261,TS,1,,RANDOM,Trial is Randomized,N,,C49487,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,RDIND,Rare Disease Indicator,N,,C49487,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,REGID,Registry Identifier,NCT01529034,,,,
P261-402-USL261,TS,1,,SDTIGVER,SDTM IG Version,3.4,,,,
P261-402-USL261,TS,1,,SDTMVER,SDTM Version,2.0,,,,
P261-402-USL261,TS,1,,SENDTC,Study End Date,2028-03-28,,,,
P261-402-USL261,TS,1,,SEXPOP,Sex of Participants,BOTH,,C49636,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,SPONSOR,Clinical Study Sponsor,"Upsher-Smith Laboratories, Inc.",,,,
P261-402-USL261,TS,1,,SSTDTC,Study Start Date,INVALID,,,,
P261-402-USL261,TS,1,,STOPRULE,Study Stop Rules,Study may be stopped for safety concerns per DMC recommendation,,,,
P261-402-USL261,TS,1,,STYPE,Study Type,INTERVENTIONAL,,C98388,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,TBLIND,Trial Blinding Schema,OPEN LABEL,,C49659,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,TCNTRL,Control Type,UNCONTROLLED,,,,
P261-402-USL261,TS,1,,TDIGRP,Diagnosis Group,Neurology,,,SNOMED,2023-09-01
P261-402-USL261,TS,1,,THERAREA,Therapeutic Area,Neurology,,,,
P261-402-USL261,TS,1,,TINDTP,Trial Intent Type,TREATMENT,,C49656,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,TITLE,Trial Title,An Open-Label Safety Study of USL261 in the Outpatient Treatment of Subjects with Seizure Clusters,,,,
P261-402-USL261,TS,1,,TPHASE,Trial Phase Classification,PHASE III TRIAL,,C15602,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,TRT,Investigational Therapy or Treatment,MIDAZOLAM,,,INVALID_REF,2023-12-15
P261-402-USL261,TS,1,,TTYPE,Trial Type,EFFICACY,,C49666,CDISC CT,2023-12-15
P261-402-USL261,TS,1,,RANDOM,Trial is Randomized,N,,C49487,CDISC CT,2023-12-15
