STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
M19-977-RISA-PED,TS,1,,ACTSUB,Actual Number of Subjects,88,,,,
M19-977-RISA-PED,TS,1,,ADAPT,Adaptive Design,N,,C49487,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,ADDON,Added on to Existing Treatments,N,,C49487,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,AGEMAX,Planned Maximum Age of Subjects,P17Y,,,,
M19-977-RISA-PED,TS,1,,AGEMIN,Planned Minimum Age of Subjects,P6Y,,,,
M19-977-RISA-PED,TS,1,,DCUTDESC,Data Cutoff Description,Final database lock,,,,
M19-977-RISA-PED,TS,1,,DCUTDTC,Data Cutoff Date,2025-05-14,,,,
M19-977-RISA-PED,TS,1,,EXTTIND,Extension Trial Indicator,N,,C49487,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,FCNTRY,Planned Country of Investigational Sites,USA,,,GENC,Ed3 Up11
M19-977-RISA-PED,TS,1,,HLTSUBJI,Healthy Subject Indicator,N,,C49487,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,INDIC,Trial Disease/Condition Indication,Moderate to Severe Plaque Psoriasis (Pediatric),,,SNOMED,2023-09-01
M19-977-RISA-PED,TS,1,,INTMODEL,Intervention Model,PARALLEL,,C82639,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,INTTYPE,Intervention Type,DRUG,,C1909,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,LENGTH,Trial Length,INVALID,,,,
M19-977-RISA-PED,TS,1,,NARMS,Planned Number of Arms,2,,,,
M19-977-RISA-PED,TS,1,,NCOHORT,Number of Groups/Cohorts,2,,,,
M19-977-RISA-PED,TS,1,,OBJPRIM,Trial Primary Objective,To evaluate the efficacy and safety of the investigational treatment,,,,
M19-977-RISA-PED,TS,1,,OBJSEC,Trial Secondary Objective,To evaluate pharmacokinetics and immunogenicity,,,,
M19-977-RISA-PED,TS,1,,ONGOSIND,Ongoing Study Indicator,N,,C49487,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,OUTMSPRI,Primary Outcome Measure,Change from baseline in primary endpoint,,,,
M19-977-RISA-PED,TS,1,,PCLAS,Pharmacologic Class,MONOCLONAL ANTIBODY,,,MED-RT,2023-09-01
M19-977-RISA-PED,TS,1,,PDPSTIND,Pediatric Postmarket Study Indicator,N,,C49487,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,PDSTIND,Pediatric Study Indicator,N,,C49487,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,PIPIND,Pediatric Investigation Plan Indicator,N,,C49487,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,PLANSUB,Planned Number of Subjects,88,,,,
M19-977-RISA-PED,TS,1,,RANDOM,Trial is Randomized,Y,,C49488,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,RDIND,Rare Disease Indicator,N,,C49487,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,REGID,Registry Identifier,NCT04435600,,,,
M19-977-RISA-PED,TS,1,,SDTIGVER,SDTM IG Version,3.4,,,,
M19-977-RISA-PED,TS,1,,SDTMVER,SDTM Version,2.0,,,,
M19-977-RISA-PED,TS,1,,SENDTC,Study End Date,2025-06-13,,,,
M19-977-RISA-PED,TS,1,,SEXPOP,Sex of Participants,BOTH,,C49636,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,SPONSOR,Clinical Study Sponsor,AbbVie Inc.,,,,
M19-977-RISA-PED,TS,1,,SSTDTC,Study Start Date,2024-01-15,,,,
M19-977-RISA-PED,TS,1,,STOPRULE,Study Stop Rules,Study may be stopped for safety concerns per DMC recommendation,,,,
M19-977-RISA-PED,TS,1,,STYPE,Study Type,INTERVENTIONAL,,C98388,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,TBLIND,Trial Blinding Schema,DOUBLE BLIND,,C15228,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,TCNTRL,Control Type,ACTIVE,,,,
M19-977-RISA-PED,TS,1,,TDIGRP,Diagnosis Group,Dermatology,,,SNOMED,2023-09-01
M19-977-RISA-PED,TS,1,,THERAREA,Therapeutic Area,Dermatology,,,,
M19-977-RISA-PED,TS,1,,TITLE,Trial Title,"A Multicenter, Randomized, Active-controlled Study to Evaluate the Pharmacokinetics, Safety, and Efficacy of Risankizumab in Pediatric Subjects (6 to <18 years) with Moderate to Severe Plaque Psoriasis",,,,
M19-977-RISA-PED,TS,1,,TPHASE,Trial Phase Classification,PHASE III TRIAL,,C15602,CDISC CT,2023-12-15
M19-977-RISA-PED,TS,1,,TRT,Investigational Therapy or Treatment,RISANKIZUMAB,,,UNII,2023-12-15
M19-977-RISA-PED,TS,2,,TRT,Investigational Therapy or Treatment,USTEKINUMAB,,,UNII,2023-12-15
M19-977-RISA-PED,TS,1,,TTYPE,Trial Type,EFFICACY,,C49666,CDISC CT,2023-12-15
